,Parcel ID,Description,Location,Assessed Value,Total Parcel Acres
1337,TR069.,LOT & HOUSE,669 TRUCK ROUTE,120700,2.0
1338,CS013.,LOT & MHOME,135 CLELAND SOUTH,95300,0.46
1339,NM052.,LOT & MHOME,482 NORTH MAIN STREET,100200,1.0
1340,NM031.,LOT & HOUSE,291 NORTH MAIN STREET,148900,0.69
1341,ATC15.,2010 CROSSROAD,15C ALBURGH  RV RESORT,17100,
1342,ATA08.,95 PRK MODEL,8A ALBURGH RV RESORT,6000,
1343,WL032.,LOT & HOUSE,302 WINTER'S LANE,140700,0.64
1344,PT012.,LOT & BUILDING,12 POINT OF TONGUE,283500,1.02
1345,WS171.,LAND  & HOUSE,1627 WEST SHORE RD,252000,10.71
1346,MD016.,LOT & HOUSE,168 MATTHIAS LANE,171100,0.23
1347,KN008.,LOT & HOUSE,74 KIRK & FITTS,157000,0.31
1348,MP013.,LOT & HOUSE,93 MUD POINT SOUTH,289800,0.4
1349,RO138.,LOT & HOUSE,138 ROUTE 129,188300,0.24
1350,PF007.,LOT & HOUSE,7 POOR FARM ROAD,223000,2.16
1351,FH069.,LOT & HOUSE,657 FIRE HOUSE ROAD,278200,0.31
1352,PT028.,LOT & HOUSE,28 POINT OF TONGUE,353600,0.79
1353,PF005.,LOT,5 POOR FARM ROAD,139200,1.11
1354,ATB07.,98 MALLARD,7B ALBURGH  RV RESORT,1500,
1355,ATC27.,REFLECTION 2017,27C ALBURGH  RV  RESORT,19700,
1356,WM011.,LOT,11 WINDMILL POINT RD,35800,1.46
1357,WW139.,LAND & HOUSE,1301 WINDMILL POINT,599200,11.75
1358,NM042.,LAND & BUILDING,42 NORTH MAIN STREET,36800,4.0
1359,RN270.,LAND,270 US ROUTE 2 NORTH,41300,76.0
1360,WE006.,LAND & MHOME,116 WINDMILL POINT EAST,70300,9.65
1361,WM063.,LAND & IMPROVEMENTS,63 WINDMILL POINT RD,69500,48.04
1362,BA021.,LOT & HOUSE,163 BAKER STREET,309700,0.5
1363,SA155.,LOT & HOUSE,1409 ALBURGH  SPRINGS ROAD,149200,0.8
1364,SM059.,HOUSE,565 SOUTH MAIN,74600,
1365,SM061.,LOT & HOUSE,567 SOUTH MAIN,124100,0.41
1366,PF130.A,LAND & BUILDINGS,130A POOR FARM ROAD,350700,21.39
1367,GP048.B,2004 OUTBACK,48B GOOSEPOINT   CAMPGROUND,4500,
1368,ATB06.,CRUISER 15,6B ALBURGH  RV RESORT,16800,
1369,FK037.,LOT & HOUSE,341 FISKE ROAD,324200,1.31
1370,RS284.,LOT & HOUSE,2672 US ROUTE 2 SOUTH,57600,0.18
1371,RO134.,LAND & HOUSE,134 ROUTE 129,256400,3.0
1372,RS754.,LOT & HOUSE,7146 US ROUTE 2 SOUTH,143700,0.26
1373,HU034.,LOT,34 HUNTER FARM ROAD,38400,2.0
1374,ATE03.,93 P-MODEL,3E ALBURGH  RV RESORT,6600,
1375,ATG05.,2016 HIDEOUT,5G ALBURGH  RV RESORT,14800,
1376,MP009.,LOT & IMPROVEMENTS,65 MUD POINT SOUTH,126600,0.24
1377,WA034.,LAND & HOUSE,34 WAGNER POINT RD,604500,10.5
1378,BU085.,LAND & MHOME,809 BOUTAH ROAD,101100,10.1
1379,WM018.,LOT & MHOME,160 WINDMILL POINT RD,103000,1.0
1380,ATB09.,91 WOOD PARK,9B ALBURGH RV RESORT,4500,
1381,SA304.,LOT & HOUSE,2818 ALBURGH  SPRINGS ROAD,273600,1.6
1382,RO028.,LAND,28 ROUTE 129,58400,29.2
1383,RO036.,LAND & HOUSE,36 ROUTE 129,143900,10.01
1384,RO026.,LOT,26 ROUTE 129,66400,14.8
1385,RS232.,LOT & BUILDING,2154 US ROUTE 2 SOUTH,548600,12.04
1386,RS768.,HOUSE,7290 US ROUTE 2 SOUTH,215100,
1387,RS770.,LAND & BUILDINGS,7320 US ROUTE 2 SOUTH,548700,2.62
1388,SM019.B,LOT &  HOUSE,17 VANTINE AVENUE,89300,0.75
1389,VA002.,LOT & HOUSE,28 VANTINE AVENUE,111900,0.22
1390,NM007.,LOT & HOUSE,63 NORTH MAIN STREET,107200,0.17
1391,RS209.,LOT & HOUSE,1983 US ROUTE 2 SOUTH,128100,0.5
1392,LR146.,FARM & HOUSE,487 LINE ROAD,710700,243.4
1393,SM060.,LOT & HOUSE,570 SOUTH MAIN,172500,0.3
1394,FH113.,LAND & HOUSE,1081 FIRE HOUSE ROAD,180300,10.12
1395,NM024.,LOT & BUILD,224 NORTH MAIN STREET,143700,1.61
1396,WS137.,LAND & HOUSE,1337 WEST SHORE RD,272900,11.02
1397,WS139.,LAND & HOUSE,1339 WEST SHORE RD,368900,11.02
1398,RS668.,LAND,668 US ROUTE 2 SOUTH,32300,10.21
1399,WS240.,LOT & HOUSE,2252 WEST SHORE RD,487200,1.19
1400,BA002.,LOT & HOUSE,56 BAKER STREET,126200,0.44
1401,WS315.,LOT & HOUSE,2981 WEST SHORE RD,133000,0.97
1402,ATD07.,93 WOODPRK,7D ALBURGH  RV RESORT,4500,
1403,LS035.,LOT & MH,309 LAKE STREET,96500,0.68
1404,MB011.,LAND & HOUSE,217 MISSILE BASE RD,199100,3.6
1405,ATE02.,09 WOODLAND,2E ALBURGH RV RESORT,12000,
1406,CI015.,LAND & MHOME,151 CHRISTOPHER ROAD,96600,4.23
1407,PF066.,LAND & HOUSE,66 POOR FARM ROAD,287800,11.63
1408,RO150.,LOT & HOUSE,150 ROUTE 129,243000,0.46
1409,GP162.,2011 FLAGSTAFF,162 GOOSEPOINT   CAMPGROUND,10000,
1410,TR073.,LOT & HOUSE,707 TRUCK ROUTE,268000,1.25
1411,DR046.,LAND & HOUSE,515 DEER RUN LANE,286200,10.1
1412,MR180.,LAND & BUILDING,1720 MARTELL ROAD,233800,85.0
1413,WS349.,LAND & HOUSE,3305 WEST SHORE RD,218000,60.0
1414,BR081.,MHOME,765 BLAIR ROAD,17200,
1415,BR088.,FARM & MHOME,834 BLAIR ROAD,497100,245.0
1416,MR073.,MH ON FARM,713 MARTELL ROAD,16500,
1417,MR075.,MH ON FARM,715 MARTELL ROAD,18900,
1418,MR098.,FARM & HOUSE,930 MARTELL ROAD,1127400,426.5
1419,RS175.,LAND,175 US ROUTE 2 SOUTH,56100,56.61
1420,GP039.,SKYLINE PARK MODEL,39 GOOSEPOINT   CAMPGROUND,7700,
1421,HD002.,LOT & HOUSE,2 HIDDEN DRIVE,278700,0.79
1422,WS002.,LOT & HOUSE,10 WEST SHORE RD,267300,0.55
1423,PF193.,LOT & HOUSE,193 POOR FARM ROAD,253000,0.31
1424,PF018.,LOT & HOUSE,18 POOR FARM ROAD,196700,1.09
1425,RS578.,LAND & BUILDINGS,5460 US ROUTE 2 SOUTH,144300,3.9
1426,HD032.,LAND & HOUSE,32 HIDDEN DRIVE,149900,10.75
1427,EA031.,LOT & HOUSE,303 EAST ALBURGH  RD,60500,0.23
1428,CS026.,LOT & HOUSE,166 CLELAND SOUTH,167300,0.2
1429,JE001.,LOT & HOUSE,47 JENNY LANE,325600,12.06
1430,CI012.,LOT & HOUSE,106 CHRISTOPHER ROAD,78500,0.41
1431,WS125.,LAND & HOUSE,1181 WEST SHORE RD,404000,10.3
1432,DX002.,LOT & M HOME,10 DESO DRIVE EXTENSION,122800,0.4
1433,PF125.,LOT & HOUSE,125 POOR FARM ROAD,226100,0.67
1434,RS461.,LOT & HOUSE,4391 US ROUTE 2 SOUTH,519100,42.42
1435,LS048.,LAND,48 LAKE STREET,15100,17.44
1436,BA006.,L0T & HOUSE,106 BAKER STREET,153800,0.65
1437,MU025.,LOT & HOUSE,169 WOOD LANE,118700,1.0
1438,BT009.,CAMP,9 BRULEY TRAILER PRK,49700,
1439,PF019.,LOT & HOUSE,19 POOR FARM ROAD,259700,0.34
1440,BR085.,MHOME ON REYNOLDS,799 BLAIR ROAD,5400,
1441,RS539.,LOT & HOUSE,5091 US ROUTE 2 SOUTH,243100,0.55
1442,PF170.,LOT & HOUSE,170 POOR FARM ROAD,193900,0.43
1443,MR159.,LAND,159 MARTELL ROAD,1200,1.0
1444,RS169.,LOT & HOUSE,22 ELLIOT'S WAY,112100,2.0
1445,ATG16.,10 WOODLAND PARK,16G ALBURGH  RV  RESORT,13900,
1446,RS260.,LOT & HOUSE,2460 US ROUTE 2 SOUTH,122600,0.21
1447,EA041.,LOT & HOUSE,391 EAST ALBURGH  RD,221900,0.3
1448,BA025.,LOT & HOUSE,67 BAKER STREET EXTENSION,300600,0.65
1449,BT017.,MHOME,17 BRULEY TRAILER PRK,55000,
1450,ATD08.,90 WOODLAND PK,8D ALBURGH  RV RESORT,8600,
1451,GR237.,LAND & MHOME,1784 GREENWOODS ROAD,141600,20.33
1452,KF007.,LOT & HOUSE,89 KIRK & FITTS,120700,0.25
1453,ATA09.,09 WOODLAND,9A ALBURGH RV RESORT,15100,
1454,WL008.,LOT & HOUSE,31 ETHAN LANE,168900,0.7
1455,IP010.,LOT,66 INDUSTRIAL PARK RD,60000,2.0
1456,CN011.,LOT & HOUSE,99 CLELAND NORTH,366200,0.1
1457,SS003.,LOT & MHOME,35 SOWLES STREET,48900,0.29
1458,CP002.,LAND,2 COON POINT RD,260900,53.32
1459,RO142.,LOT & MHOME,142 ROUTE 129,48100,1.89
1460,RO108.,LOT,108 ROUTE 129,4200,1.0
1461,RT011.,LAND,11 ROUTE 78,59800,12.28
1462,CS032.,LOT & HOUSE,200 CLELAND SOUTH,323100,0.2
1463,PF192.,LOT & CELL TOWER AND UTILITY BOX FENCED,192 POOR FARM ROAD,38400,0.72
1464,VA008.,LOT & MHOME,86 VANTINE AVENUE,81300,0.41
1465,RS116.,LOT & HOUSE,1092 US ROUTE 2 SOUTH,213100,2.62
1466,TR129.,LOT & HOUSE,129 TRUCK ROUTE,119000,22.4
1467,CP051.,LAND & HOUSE,475 PALMERS SAND BEACH ROAD,410200,24.26
1468,CP053.,CAMP,511 PALMERS SAND BEACH ROAD,69200,
1469,KD004.,LOT,4 KILLDEER DRIVE,214500,10.13
1470,CN005.,LOT & HOUSE,65 CLELAND NORTH,238000,0.16
1471,MC010.,LOT & HOUSE,76 MOTT STREET SOUTH,354200,0.73
1472,CB024.,LOT & MHOME,234 CENTER BAY RD,119500,1.05
1473,HA005.,LOT & MHOME,61 HORICAN AVENUE,123900,0.93
1474,RS413.,LAND,413 US ROUTE 2 SOUTH,45100,45.0
1475,RS423.,LAND & HOUSE,4003 US ROUTE 2 SOUTH,389800,61.55
1476,WL034.,LOT & HOUSE,320 WINTER'S LANE,132600,0.5
1477,SM080.,,720 SOUTH MAIN,119300,0.53
1478,WS345.,LOT & MHOME,3261 WEST SHORE RD,146400,0.46
1479,IP018.,LAND & BUILDING,184 INDUSTRIAL PARK RD,365900,17.67
1480,CO009.,LOT & HOUSE,143 CENTER BAY NORTH,84100,0.33
1481,ATA25.,90 PK MODEL,25A ALBURGH  RV RESORT,4400,
1482,GR118.,LAND & MHOME,2907 GREENWOODS ROAD,133300,10.0
1483,GR125.,LAND & BUILDING,2852 GREENWOODS ROAD,93400,10.43
1484,RS704.,LOT & HOUSE,6670 US ROUTE 2 SOUTH,275800,1.6
1485,RS708.,HOUSE,6700 US ROUTE 2 SOUTH,39900,
1486,GR106.,LAND & MHOME,3035 GREENWOODS ROAD,116000,10.0
1487,SM031.,LOT & HOUSE,271 SOUTH MAIN,104100,0.48
1488,GP001.B,PARK MODEL,1B GOOSEPOINT CAMPGROUND,10000,
1489,GR263.,LOT,263 GREENWOODS ROAD,45000,1.5
1490,ATG15.,89 TERRY,15G ALBURGH  RV RESORT,4000,
1491,SM005.A,LOT & APT HOUSE,55 SOUTH MAIN,162200,0.46
1492,RS152.,LOT & HOUSE & AUTO REPAIR BUSINESS,1442 US ROUTE 2 SOUTH,125200,1.5
1493,RT038.A,MHOME,318 ROUTE 78,36800,
1494,WL019.,LOT & HOUSE,181 WINTER'S LANE,172700,1.03
1495,WW146.,LOT & HOUSE,1396 WINDMILL POINT,354800,0.34
1496,SM027.,LOT & HOUSE,225 SOUTH MAIN,106400,0.25
1497,FX002.A,TOWER ON LADD,116 FOX HILL ROAD,50600,
1498,CN007.,LOT & HOUSE,71 CLELAND NORTH,223400,0.14
1499,JE009.,HOUSE & LOT,217 JENNY LANE,313100,1.44
1500,WM012.,LOT & HOUSE,122 WINDMILL POINT RD,111200,2.0
1501,MC014.,LOT & HOUSE,108 MOTT STREET SOUTH,290500,0.78
1502,ATF04.,89 WOODLAND,4F ALBURGH  RV RESORT,6500,
1503,RO216.,LOT & HOUSE,216 ROUTE 129,331300,1.89
1504,BT006.,MHOME,6 BRULEY TRAILER PRK,11700,
1505,BT021.,MH RESIDENCE,21 BRULEY TRAILER PRK,7900,
1506,SM044.,LOT & HOUSE,382 SOUTH MAIN,144300,1.55
1507,ATC22.,2010 STARCRAFT,22C ALBURGH  RV  RESORT,7900,
1508,GP165.,2001 CITATION,165 GOOSEPOINT CAMPGROUND,8400,
1509,DX031.,LOT AND HOUSE,31 DESO DRIVE EXTENSION,129600,0.31
1510,BD033.,LOT & HOUSE,329 BORDER ROAD,132000,0.75
1511,SS013.,LOT & HOUSE,135 SOWLES STREET,142800,0.32
1512,TR064.,LOT & MHOME,612 TRUCK ROUTE,81500,1.25
1513,GR132.,LAND & MHOME,2785 GREENWOODS ROAD,133100,10.0
1514,PT020.,LOT & HOUSE,20 POINT OF TONGUE,295300,1.12
1515,PT052.,LOT & HOUSE,52 POINT OF TONGUE,310000,1.25
1516,CE054.,HOUSE & LOT,54 CEDARVALE EST,88500,0.5
1517,HD053.,LAND & HOUSE,53 HIDDEN DRIVE,318300,61.15
1518,CN003.,LOT & HOUSE,49 CLELAND NORTH,381500,0.92
1519,GP042.,2008 WILDWOOD,42 GOOSEPOINT  CAMPGROUND,8000,
1520,BS016.,LOT & HOUSE,154 BOURDEAU SOUTH,175100,0.91
1521,RS490.,LAND & HOUSE,4642 US ROUTE 2 SOUTH,249600,17.0
1522,ME003.,LOT & HOUSE,41 MOONEY DRIVE,114600,0.3
1523,RO213.,LOT & HOUSE,213 ROUTE 129,174500,0.2
1524,CS022.,LOT & HOUSE,148 CLELAND SOUTH,155400,0.19
1525,RS802.,LOT & GARAGE,7586 US ROUTE 2 SOUTH,74000,1.91
1526,NM061.,LOT & HOUSE,579 NORTH MAIN STREET,113600,0.59
1527,CE049.,LOT & HOUSE,49 CEDARVALE EST,210500,1.14
1528,MW001.,LAND,1 MCCOY WOODS LANE,45600,6.67
1529,RS223.,LAND,223 US ROUTE 2 SOUTH,230100,29.41
1530,GP076.,2006 ZINGER,76 GOOSEPOINT CAMPGROUND,5500,
1531,GP041.,2011 KEYSTONE SPRINGDALE,41 GOOSEPOINT   CAMPGROUND,8500,
1532,WA036.,LAND & HOUSE,36 WAGNER POINT RD,498900,10.1
1533,RS320.,LAND & HOUSE,3022 US ROUTE 2 SOUTH,163800,5.5
1534,GP093.,2005 COACHMAN,93 GOOSEPOINT CAMPGROUND,22000,
1535,DD009.,LOT & MHOME,100 DESO DRIVE,120300,0.34
1536,WS337.,LOT & HOUSE,3185 WEST SHORE RD,265100,2.56
1537,RT246.,LOT & HOUSE,2348 ROUTE 78,222300,0.75
1538,AN002.,LOT & HOUSE,9 ANICK AVENUE,114100,0.17
1539,SS009.,LOT & MHOME,87 SOWLES STREET,45700,0.3
1540,TW011.,LOT,11 TERRAPIN LANE,101900,1.84
1541,LR078.,LAND & HOUSE,1105 LINE ROAD,171600,12.6
1542,SU148.,LOT & HOUSE,148 SUMMIT ROAD,97600,1.5
1543,SM008.A-C,LOT & BUILDING,64A-C SOUTH MAIN,197100,0.25
1544,GP046.,1998 SALEM,46 GOOSEPOINT CAMPGROUND,3300,
1545,PN016.,LOT & HOUSE,134 PUMPHOUSE NORTH,332400,2.44
1546,GL010.,LAND & HOUSE,92 GARCIA LANE,285300,19.96
1547,NM015.,MH ON BLAIR,131 NORTH MAIN STREET,6200,
1548,BS013.,LOT & HOUSE,125 BOURDEAU SOUTH,341300,1.2
1549,CG008.,LAND & HOUSE,8 CARRIGAN HEIGHTS,303600,10.12
1550,WA032.,LAND,32 WAGNER POINT RD,466800,13.21
1551,GP111.,JAYCO 2019,111 GOOSEPOINT CAMPGROUND,52100,
1552,WD005.,LOT & HOUSE,77 WHEELER DRIVE,157200,0.59
1553,PX228.,LOT & HOUSE,228 POOR FARM EXT,428200,1.0
1554,PF092.,LAND & HOUSE,92 POOR FARM ROAD,255800,10.1
1555,WS355.,LOT & HOUSE,3387 WEST SHORE RD,230500,1.01
1556,RS278.,FARM & HOUSE,2650 US ROUTE 2 SOUTH,728300,140.0
1557,RS308.,LAND,308 US ROUTE 2 SOUTH,366800,56.0
1558,RT038.,LAND & IMPROVEMENTS,38 ROUTE 78,168400,145.0
1559,TR025.,LAND & HOUSE,245 TRUCK ROUTE,149800,3.0
1560,RS277.,LOT & HOUSE,2631 US ROUTE 2 SOUTH,183900,0.94
1561,GP048.,LEGEND,48 GOOSEPOINT CAMPGROUND,13500,
1562,GR257.,LAND & MHOME,1586 GREENWOODS ROAD,114000,15.79
1563,RS155.,LAND & HOUSE,1463 US ROUTE 2 SOUTH,217800,10.0
1564,LS009.A,LOT & HOUSE,83 LAKE STREET,108400,0.14
1565,HN025.,LOT & HOUSE,233 HUNTER NORTH,219600,0.23
1566,ATF02.,2010 WOODLAND PARK,2F ALBURGH  RV RESORT,13100,
1567,ATA21.,2011  WOODLAND,21A ALBURGH  RV  RESORT,20000,
1568,ATG11.,87 WOODLAND PARK,11G ALBURGH  RV  RESORT,4500,
1569,ATB12.,89 PARKMODEL,12B ALBURGH RV RESORT,3700,
1570,GP166.,2003 SPRINTER BY KEYSTONE,166 GOOSEPOINT CAMPGROUND,4800,
1571,CE097.,LOT & HOUSE,97 CEDARVALE EST,235900,0.53
1572,ATF05.,91 WOODLAND PRK,5F ALBURGH  RV RESORT,6700,
1573,IP023.,LAND,23 INDUSTRIAL PARK RD,60000,2.5
1574,SM010.,LOT & BUILDING,74 SOUTH MAIN,103200,0.5
1575,RO019.,LOT & MHOME,19 ROUTE 129,123700,1.88
1576,GR098.,LOT & HOUSE,3131 GREENWOODS ROAD,121600,1.0
1577,FH083.,LAND & HOUSE,799 FIRE HOUSE ROAD,599200,10.2
1578,SM064.,LOT & HOUSE,616 SOUTH MAIN,214100,0.61
1579,WS010.,LOT & HOUSE,82 WEST SHORE RD,324400,1.01
1580,CD010.,LOT & HOUSE,88 CEDAR LANE,105500,0.34
1581,ATH11.,SALEM GRAND VILLA,11H ALBURGH  RV  RESORT,52400,
1582,AN012.,LOT & HOUSE,79 ANICK AVENUE,93000,0.17
1583,KF005.,LOT & HOUSE,73 KIRK & FITTS,83800,0.19
1584,GP117.,HOLIDAY RAMBLER,117 GOOSEPOINT CAMPGROUND,6700,
1585,GP114.,1988  PARK MODEL,114 GOOSEPOINT CAMPGROUND,2300,
1586,CC004.,LOT & HOUSE,54 CENTER CEMETERY RD,80000,0.57
1587,CU019.,LOT & HOUSE,99 CENTER BAY SOUTH,352000,0.43
1588,FK008.,LAND & BARN,8 FISKE ROAD,51200,26.69
1589,GR137.,LAND & MHOME,2610 GREENWOODS ROAD,118600,10.1
1590,ATA14.,2018 KEYSTONE,14A ALBURGH  RV  RESORT,26300,
1591,RS310.,MH ON SPRANO,2946 US ROUTE 2 SOUTH,6700,
1592,RS437.,LAND & HOUSE,4185 US ROUTE 2 SOUTH,268600,10.03
1593,CU021.,LAND & HOUSE,127 CENTER BAY SOUTH,297200,1.12
1594,GP139.,SUMMIT MHOME,139 GOOSEPOINT CAMPGROUND,4800,
1595,FK099.,LOT & HOUSE,981 FISKE ROAD,237500,0.41
1596,HA003.,LOT & HOUSE,23 HORICAN AVENUE,83500,0.11
1597,GP036.A,2009 PUMA,36A GOOSEPOINT   CAMPGROUND,5800,
1598,MI080.,FARM,760 MIDDLE ROAD,885100,198.0
1599,WS229.,LAND,2155 WEST SHORE RD,251500,140.0
1600,WS231.,LOT,231 WEST SHORE RD,84000,0.64
1601,BD053.,LAND,2025,84800,69.13
1602,DO024.,LAND,24 HAYLDE ROAD,77600,96.0
1603,MI086.,MHOME,810 MIDDLE ROAD,22900,
1604,MI087.,LAND,87 MIDDLE ROAD,66500,195.0
1605,MI122.,LAND,122 MIDDLE ROAD,59700,10.1
1606,NM071.,LAND,71 NORTH MAIN STREET,531100,734.62
1607,WS230.,LAND,2025,23500,13.1
1608,TW007.,LOT,280 TERRAPIN LANE,105600,2.65
1609,SM062.B,LOT & HOUSE,596 SOUTH MAIN,205800,0.47
1610,GP016.B,SEAHAWK,16B GOOSEPOINT   CAMPGROUND,2000,
1611,WX006.,LOT & HOUSE,54 WINTER'S LANE EXT,174400,0.23
1612,SM050.,LOT & HOUSE,458 SOUTH MAIN,143800,0.5
1613,SA230.,LOT & HOUSE,2158 ALBURGH  SPRINGS ROAD,476700,2.34
1614,RS295.,LOT & HOUSE,91 CARPENTER LANE,93600,0.3
1615,GP024.,1985 COBRA NOMAD,24 GOOSEPOINT CAMPGROUND,1500,
1616,PT030.,LOT & HOUSE,30 POINT OF TONGUE,473600,1.5
1617,PT032.,LOT & BUILDING,32 POINT OF TONGUE,66300,0.94
1618,GP095.,2009 SPRINGDALE,95 GOOSEPOINT   CAMPGROUND,11000,
1619,TW004.,LOT,2025,94900,1.3
1620,ATC28.,2017 PUMA,28C ALBURGH RV RESORT,11500,
1621,MG033.,LAND & HOUSE,357 MCGREGOR POINT,624400,10.3
1622,IP015.B,MHOME ON TARTE,155 INDUSTRIAL PARK RD,6900,
1623,RS649.,LAND & MHOME,6153 US ROUTE 2 SOUTH,146700,15.0
1624,RS645.,LOT & HOUSE,6111 US ROUTE 2 SOUTH,117000,2.0
1625,SM058.,LOT & HOUSE,552 SOUTH MAIN,130400,0.34
1626,SM055.,LOT & HOUSE,519 SOUTH MAIN,173000,0.38
1627,SM032.,LOT & HOUSE,246 SOUTH MAIN,93300,0.32
1628,MD018.,LOT,18 MATTHIAS LANE,61800,0.25
1629,ST028.,LAND & HOUSE,250 SUNSET BLVD,165300,10.37
1630,NM017.,MH ON BLAIR,159 NORTH MAIN STREET,4400,
1631,WL016.,LOT & HOUSE,144 WINTER'S LANE,143200,0.75
1632,SM058.A,LOT & HOUSE,548A SOUTH MAIN,167700,0.26
1633,MC004.,LOT & HOUSE,16 MOTT STREET SOUTH,383000,1.18
1634,GP040.,2014 MONTANA,40 GOOSEPONIT CAMPGROUND,14900,
1635,BL023.,LOT & HOUSE,241 BLUE ROCK ROAD,180200,1.37
1636,SA097.A-B,LOT & HOUSE,871A-B ALBURGH  SPRINGS ROAD,248000,1.8
1637,ATG18.,MALLARD,18G ALBURGH  RV RESORT,8700,
1638,BU091.,LAND & MHOME,875 BOUTAH ROAD,84400,10.1
1639,BD132.,LAND & HOUSE,1254 BORDER ROAD,301600,88.0
1640,MS004.,LAND & BUILDING,28 MILK STREET,96700,1.12
1641,RS269.,LOT & MHOME,2547 US ROUTE 2 SOUTH,73600,0.45
1642,TR079.,LOT & MHOME,757 TRUCK ROUTE,74200,1.37
1643,GR107.,LAND,3074 GREENWOODS ROAD,118000,11.11
1644,DD022.,LOT & MHOME,77 DESO DRIVE,123300,0.54
1645,LR100.,LAND,875 LINE ROAD,32700,38.4
1646,BD137.,LAND & HOUSE,1329 BORDER ROAD,551100,20.0
1647,WW149.,LOT & HOUSE,1411 WINDMILL POINT,473100,0.69
1648,LI001.,LAND & HOUSE,1630 PALMERS SAND BEACH ROAD,798800,10.0
1649,WW148.,LOT & HOUSE,1408 WINDMILL POINT,456100,0.54
1650,GP092.,1996 PARK MODEL,92 GOOSEPOINT CAMPGROUND,5200,
1651,WS437.,LAND,437 WEST SHORE RD,229900,12.36
1652,CO011.,LOT & HOUSE,161 CENTER BAY NORTH,80400,1.06
1653,HI022.,LOT & HOUSE,22 HILLTOP ROAD,190600,1.2
1654,PF058.,LOT & HOUSE,58 POOR FARM ROAD,334600,1.0
1655,WS423.,LOT & MHOME,4005 WEST SHORE RD,124500,0.23
1656,SM029.,LOT & HOUSE,263 SOUTH MAIN,224300,1.04
1657,FH071.,LOT & HOUSE,669 FIRE HOUSE ROAD,315900,0.19
1658,ATE05.,91 LEGAND,5E ALBURGH  RV RESORT,4500,
1659,RO210.,LOT & HOUSE,210 ROUTE 129,121300,0.27
1660,WS455.,LAND & HOUSE,4241 WEST SHORE RD,282300,10.17
1661,SA197.,FARM & HOUSE,1837 ALBURGH  SPRINGS ROAD,516500,93.0
1662,HN035.,LOT & HOUSE,305 HUNTER NORTH,119600,0.12
1663,BT017.A,MHOME,17A BRULEY TRAILER PRK,22200,
1664,BY070.,LAND & HOUSE,724 BAY ROAD,279500,10.0
1665,ATF03.,93 WOOD-PRK,3F ALBURGH  RV RESORT,4500,
1666,GP048.A,2008 SPRINGDALE,48A GOOSEPOINT  CAMPGROUND,9800,
1667,GP160.,92 DESTINY SUNLAKE,160 GOOSEPOINT CAMPGROUND,10000,
1668,GP147.,2010 CHEROKEE PARK MODEL,147 GOOSEPOINT CAMPGROUND,11900,
1669,GP132.,1999 PARK MODEL,132 GOOSEPOINT CAMPGROUND,3300,
1670,GP097.,2008 JAYCO,97GP GOOSEPONIT CAMPGROUND,7800,
1671,GP119.A,2023 MONTANA,119A GOOSEPOINT CAMPGROUND,45400,
1672,GP136.,1996 SUNNYBROOK,136 GOOSEPOINT CAMPGROUND,3600,
1673,ATH08.,01 TRAVL,8H ALBURGH  RV RESORT,8800,
1674,GP109.,2003 TRAILLITE,109 GOOSEPOINT CAMPGROUND,6000,
1675,ATA43.,2002 TERRY,43A ALBURGH  RV  RESORT,3800,
1676,RS273.,LOT & HOUSE,2599 US ROUTE 2 SOUTH,109700,0.7
1677,IP015.,LOT/ WTR/SWR/,155 INDUSTRIAL PARK RD,57500,0.47
1678,ATF12.,91 SHASTA,12F ALBURGH  RV RESORT,4600,
1679,GR279.,LAND & MHOME,1392 GREENWOODS ROAD,76600,8.6
1680,GR096.,MHOME,3083 GREENWOODS ROAD,16100,
1681,PF045.,LOT,45 POOR FARM ROAD,33300,0.43
1682,WS377.,LOT & HOUSE,3577 WEST SHORE RD,198100,0.46
1683,LR196.,LOT & BUILDING,21 LINE ROAD,48800,0.51
1684,VA001.,LOT & HOUSE,33 VANTINE AVENUE,85700,0.06
1685,SM078.,LOT & HOUSE,714 SOUTH MAIN,160200,0.32
1686,FK087.,LOT & HOUSE,865 FISKE ROAD,273900,0.55
1687,FK079.,LOT & HOUSE,775 FISKE ROAD,313800,0.72
1688,WS169.,LAND & HOUSE,1601 WEST SHORE RD,277700,10.5
1689,PF009.,LOT & HOUSE,9 POOR FARM ROAD,245800,1.03
1690,PF158.,LOT & HOUSE,158 POOR FARM ROAD,191600,0.2
1691,SM021.,LOT & HOUSE,20 VANTINE AVENUE,85600,0.1
1692,VA005.,LOT & HOUSE,59 VANTINE AVENUE,91300,0.21
1693,RU004.,LOT & HOUSE,39 BOURDEAU NORTH,223200,0.13
1694,RS158.,LOT & MHOME,1484 US ROUTE 2 SOUTH,82500,1.0
1695,GP085.,2008 SPRINGDALE,85 GOOSEPOINT CAMPGROUND,3800,
1696,SA162.,LOT & HOUSE,1492 ALBURGH  SPRINGS ROAD,180000,2.0
1697,TR101.,LOT & MHOME,961 TRUCK ROUTE,63900,1.0
1698,GR100.,LAND,3133 GREENWOODS ROAD,67400,10.16
1699,GP019.B,CANYON TRAIL 09,19B GOOSEPOINT CAMPGROUND,10800,
1700,ATG25.,2011 MONTANA,25G ALBURGH  RV RESORT,28200,
1701,KF026.,LOT & HOUSE,222 KIRK & FITTS,208400,0.49
1702,WW143.,LOT,143 WINDMILL POINT,39200,0.75
