,Parcel ID,Description,Location,Assessed Value,Total Parcel Acres
1080,GR388.,LAND & MHOME,353 GREENWOODS ROAD,75200,10.1
1081,HA007.,LOT & HOME,98 HORICAN AVENUE,127300,0.92
1082,GR123.,LOT & MHOME,2880 GREENWOODS ROAD,71500,0.81
1083,WW142.,LOT & HOUSE,1360 WINDMILL POINT,475100,0.59
1084,WS033.,LOT & HOUSE,309 WEST SHORE RD,212800,0.22
1085,ATB11.,2010 WOODLAND PARK,11B ALBURGH  RV RESORT,16400,
1086,WM088.,LAND,88 WINDMILL POINT RD,3200,11.0
1087,GP044.,15 COUGAR KEYSTONE,44 GOOSEPOINT  CAMPGROUND,31700,
1088,WS289.,LOT & HOUSE,2733 WEST SHORE RD,260900,0.46
1089,RO204.,LAND,204 ROUTE 129,60600,41.96
1090,CE073.,LOT & HOUSE,73 CEDARVALE EST,205200,0.78
1091,KF017.,LOT & HOUSE,169 KIRK & FITTS,129100,0.2
1092,PF123.,LOT & HOUSE,123 POOR FARM ROAD,189100,0.55
1093,WA016.,LOT & HOUSE,16 WAGNER POINT RD,463200,2.18
1094,RS418.,LOT & HOUSE,4036 US ROUTE 2 SOUTH,110500,0.68
1095,MT016.A,LOT & HOUSE,296 MOTT STREET NORTH,198200,0.82
1096,KF023.,LOT & HOUSE,221 KIRK & FITTS,139300,0.62
1097,WS331.,LOT & HOUSE,3111 WEST SHORE RD,349700,0.69
1098,MR206.,LAND & HOUSE,1950 MARTELL ROAD,239400,14.5
1099,HS010.,LOT & HOUSE,86 HUNTER SOUTH,168100,0.23
1100,BR148.,LAND & HOUSE,1460 BLAIR ROAD,122700,10.01
1101,GR245.,LAND & MHOME,1710 GREENWOODS ROAD,107200,10.26
1102,CU011.,LOT & HOUSE,49 CENTER BAY SOUTH,228800,0.27
1103,CU009.,LOT & HOUSE,41 CENTER BAY SOUTH,146700,0.15
1104,HN013.,LOT & HOUSE,131 HUNTER NORTH,187700,0.23
1105,SM074.,LOT & HOUSE,694 SOUTH MAIN,246600,0.55
1106,SM074.A,HOUSE,692 SOUTH MAIN,53600,
1107,FK031.,LOT & HOUSE,305 FISKE ROAD,431900,2.09
1108,GR113.,LAND & MHOME,2948 GREENWOODS ROAD,123500,12.45
1109,SA278.,LOT & HOUSE,2614 ALBURGH  SPRINGS ROAD,306300,0.91
1110,MU018.,LAND & HOUSE,216 WOOD LANE,182800,10.6
1111,WX004.,LOT & HOUSE,44 WINTER'S LANE EXT,155000,0.3
1112,GP002.B,PARK MODEL,2B GOOSEPOINT   CAMPGROUND,10000,
1113,GR126.,LAND & HOUSE,2829 GREENWOODS ROAD,136100,10.0
1114,SA288.,LOT & HOUSE,2688 ALBURGH  SPRINGS ROAD,292300,1.0
1115,SA286.,LOT & HOUSE,2670 ALBURGH  SPRINGS ROAD,262200,0.91
1116,SA290.,LOT & HOUSE,2708 ALBURGH  SPRINGS ROAD,265500,0.92
1117,GP169.,MONTANA,169 GOOSEPOINT   CAMPGROUND,35700,
1118,CE069.,LOT & HOUSE,69 CEDARVALE EST,190500,0.8
1119,CE067.,LOT & HOUSE,67 CEDARVALE EST,221000,0.68
1120,ATF10.,2011 WOODLAND,10ATF ALBURGH RV RESORT,20000,
1121,CE087.,LOT & HOUSE,87 CEDARVALE EST,217500,0.47
1122,WS197.,LAND & HOUSE,1941 WEST SHORE RD,280800,10.1
1123,GP078.,2010 CANYON TRAIL,78 GOOSEPOINT CAMPGROUND,17100,
1124,ATC39.,2009 SUNDANCE,39 ALBURGH  RV  RESORT,9500,
1125,WM093.,LAND,93 WINDMILL POINT RD,30300,13.5
1126,BU061.,LAND & MHOME,443 BOUTAH ROAD,202500,52.3
1127,TR103.,LAND & HOUSE,963 TRUCK ROUTE,134100,28.65
1128,CI020.,LOT & HOUSE,178 CHRISTOPHER ROAD,114600,1.22
1129,RO224.,LOT & HOUSE,224 ROUTE 129,308100,1.01
1130,SM056.A,LOT & HOUSE,536 SOUTH MAIN,106900,0.31
1131,WL028.,LOT & HOUSE,270 WINTER'S LANE,138900,0.93
1132,ATF16.,2003 KEYSTONE,16F ALBURGH  RV  RESORT,7500,
1133,WS029.,LOT & HOUSE,263 WEST SHORE RD,227800,0.34
1134,GP043.,WILDWOOD FOREST RIVER,43 GOOSEPOINT CAMPGROUND,9000,
1135,LR054.,LAND,54 LINE ROAD,15100,10.7
1136,SA280.,LOT & HOUSE,2636 ALBURGH  SPRINGS ROAD,233900,0.91
1137,FK085.,LOT & HOUSE,843 FISKE ROAD,269100,0.52
1138,PP001.,LOT & HOUSE,35 PETERSON PLACE,137200,0.58
1139,GP008.B,KEYSTONE COUGAR,8B GOOSEPOINT CAMGROUND,25000,
1140,SM056.,LOT & HOUSE,532 SOUTH MAIN,127000,0.41
1141,CA021.,LOT & HOUSE,32 CARLE STREET,95100,0.65
