,tf_name,ratedKVA
245,E72804500042788,15.0
246,E72809603093316,10.0
247,E72809603093317,15.0
248,E72804503093319,10.0
249,E103H 49E1,10.0
250,E72804503093325,10.0
251,E72809600043462,15.0
252,E72804503093323,50.0
253,E72809600042787,15.0
254,E72804503093104,10.0
255,E72804503093102,25.0
256,E72804503093100,10.0
257,E72804503093099,10.0
258,E72804500058113,10.0
259,E72809603093110,25.0
260,E72804503093109,10.0
261,E72809600039608,50.0
262,E72809603093105,10.0
263,E72804503093138,10.0
264,E72804503093122,10.0
265,E72809603093118,10.0
266,E72809603093129,10.0
267,E72804503093132,15.0
268,E72804503093127,10.0
269,E72804503093116,10.0
270,E72804503093112,10.0
271,E72804503093119,10.0
272,E72804503093136,15.0
273,E72804503097599,10.0
274,E72804503093139,10.0
275,E72809600043247,15.0
276,E72804500062601,10.0
277,E72804500060792,15.0
278,E72809600042792,15.0
279,E72809603093209,10.0
280,E72809603093106,10.0
281,E72809603093158,10.0
282,E72804503093170,15.0
283,E72804503093168,25.0
284,E103J 18,15.0
285,E103J 17,15.0
286,E72804503095262,10.0
287,E72804503093147,10.0
288,E72804503095419,10.0
289,E72809603093148,10.0
290,E72804503095936,10.0
291,E72804503093134,10.0
292,E72804503093180,10.0
293,E72804503093175,10.0
294,E72804503093179,10.0
295,E72804503093162,10.0
296,E72804503093145,10.0
297,E72804503093144,10.0
298,E72804503093152,10.0
299,E72804503093153,10.0
300,E72804503093202,10.0
301,E103J 45,15.0
302,E72804503093194,25.0
303,E72804503093189,15.0
304,E72804503093171,10.0
305,E72804503093173,10.0
306,E72804503093195,25.0
307,E72804503093196,15.0
308,E72804503093199,10.0
309,E72804503093183,15.0
310,E72804503093193,10.0
311,E72804503093225,50.0
312,E72809603093231,75.0
313,E103J 13X,15.0
314,E72804503093163,10.0
315,E72804503093169,10.0
316,E72804503093190,10.0
317,E72804503093192,15.0
318,E72804503096051,10.0
319,E72804503093133,10.0
320,E72809600040444,15.0
321,E103J 10X,15.0
322,E72804503093213,25.0
323,E72804500042791,10.0
324,E72804503092991,15.0
325,E72804503092992,10.0
326,E72804503092995,10.0
327,E72805203079104,10.0
328,E72805200040606,25.0
329,E72805203079128,15.0
330,E72805203080374,10.0
331,E72805200040265,10.0
332,E72805203080368,50.0
333,E72805203079097,15.0
334,E72805203079093,10.0
335,E72805203079091,10.0
336,E72805203079135,15.0
337,E72805203079112,25.0
338,E72805203079106,10.0
339,E72805200059220,15.0
340,E72805203102331,10.0
341,E72805203079111,50.0
342,E72805203079109,25.0
343,E72805203079161,15.0
344,E72805203079145,10.0
345,E72805203079144,10.0
346,E72805203079132,15.0
347,E72805203079134,15.0
348,E72805203079117,25.0
349,E103D 47,15.0
350,E103D 45,25.0
351,E72805200043325,15.0
352,E72805203097032,10.0
353,E72805203079212,10.0
354,E72805203079209,10.0
355,E72805203079207,15.0
356,E72805203079179,10.0
357,E72805203079153,15.0
358,tran_5799,15.0
359,E72805203080372,15.0
360,E72805203079240,10.0
361,E72805203101611,10.0
362,E72805203079238,10.0
363,E72805200042485,10.0
364,E72805200040788,10.0
365,E103D 52,15.0
366,E72805203079221,10.0
367,E103D 46,15.0
368,E72805203079219,10.0
369,E72805203079217,10.0
370,E72805203079232,10.0
371,E72805203079235,10.0
372,E72805203079201,10.0
373,E72805203079191,25.0
374,E72805200042877,10.0
375,E72805203079213,15.0
376,E72805203079182,10.0
377,E72805203079186,10.0
378,E72805203079185,10.0
379,E72805203079204,15.0
380,E72805203079200,15.0
381,E72805203079170,25.0
382,E72805200040916,25.0
383,E72805203079168,10.0
384,E72805203079175,10.0
385,E72805203079152,50.0
386,E72805203079151,10.0
387,E72805203079149,10.0
388,E72805203079162,10.0
389,E72805203079164,10.0
390,E72805203079148,10.0
391,E72805203079147,25.0
392,E72805203101612,10.0
393,E72805203079050,15.0
394,E72805203079398,10.0
395,E72805203079399,10.0
396,E72805203100818,10.0
397,E72805203079404,10.0
398,E72805203079400,25.0
399,E72805203079363,10.0
400,E72805203079359,15.0
401,E72805203079384,10.0
402,E72805203079391,15.0
403,E72805203079393,10.0
404,E72805203079058,10.0
405,E72805203079059,15.0
406,E72805203079052,15.0
407,E72805203079056,10.0
408,E72805203079057,10.0
409,E72805200042299,10.0
410,E72805203080376,30.0
411,E72805203079355,10.0
412,E72805203079410,10.0
413,E72805203079073,10.0
414,E72805203079070,15.0
415,E72805203079069,10.0
416,E72805203079067,15.0
417,E72805203079068,10.0
418,E72805203102639,10.0
419,E72805203079064,10.0
420,E72805203079066,5.0
421,E72805203096474,10.0
422,E72805203079061,10.0
423,E72805203079060,100.0
424,E72805203079071,15.0
425,E72805203095194,10.0
426,E72805203078889,15.0
427,E72805203079072,15.0
428,E72805203079074,15.0
429,E72805203079062,10.0
430,E72805203079063,10.0
431,E72805200061921,10.0
432,E72805203079327,10.0
433,E72805203079320,10.0
434,E72805203095243,10.0
435,E72805203079331,10.0
436,E103 18 V1,15.0
437,E72805203079075,10.0
438,E72805203079053,10.0
439,E72805203079054,10.0
440,E72805203079243,10.0
441,E72805203079245,10.0
442,E72805203079250,10.0
443,E72805203079309,10.0
444,E72805200038951,10.0
445,E72805203079314,10.0
446,E72805203079323,10.0
447,E72805203095875,10.0
448,E72805200043111,15.0
449,E72805203079263,10.0
450,E72805203079260,10.0
451,E72805203079257,10.0
452,E72805203104541,10.0
453,E72805203079255,10.0
454,E72805203079253,10.0
455,E72805203079158,15.0
456,E72805203104879,10.0
457,E72805203079282,10.0
458,E72805200039671,10.0
459,E72805203095979,10.0
460,E72805203095517,15.0
461,E72805203079266,10.0
462,E72805203095963,10.0
463,E72805203097994,10.0
464,tran_22461,15.0
465,E72805203079297,10.0
466,E72805203079286,10.0
467,E72805203079291,10.0
468,tran_4744,15.0
469,E72805203079289,10.0
470,E72805203079287,10.0
471,E72805203079284,50.0
472,E72805203105108,10.0
473,E72805203097925,10.0
474,E72805203079296,50.0
475,E72805203079299,10.0
476,E72805203105217,15.0
477,E72805203079308,10.0
478,E72805203105197,10.0
479,E72805203095833,10.0
480,E72805203079274,10.0
481,E72805203079272,10.0
482,E103C 39,15.0
483,E72805203079280,15.0
484,E72805203079312,10.0
485,E72805203079321,10.0
486,E72805203079311,10.0
487,E72805203079310,10.0
488,E72805203079259,10.0
489,E72805203079264,10.0
490,E72805203079329,10.0
491,E72805203079325,10.0
492,E72805203079326,10.0
493,E72805203079313,10.0
494,E72805203079317,10.0
495,E72805203080378,25.0
496,E72805203079081,15.0
497,E72805203100400,10.0
498,E72805203079080,10.0
499,E72805203079085,15.0
500,E72805203079087,15.0
501,E72805203079088,15.0
502,E72805203079089,25.0
503,E72805203079078,25.0
504,E72805203105075,15.0
505,E72805200063401,25.0
506,E72805203079079,10.0
507,E103B 16 V1,100.0
508,E103B 18A,100.0
509,E72805203080380,100.0
510,E72805203079133,10.0
511,E72805203080370,10.0
512,E72805203079141,10.0
513,E72805203079086,50.0
514,E72805200048554,10.0
515,E72805203095263,10.0
516,E72805203079077,10.0
517,E72805203079076,15.0
518,E72804503092989,10.0
519,E103F 7A V2,15.0
520,E103F 7A V1,15.0
521,E72804503093005,10.0
522,E72809603093004,25.0
523,E72804503080367,10.0
524,E72804500059579,15.0
525,E72804500064006,15.0
526,E72804503093039,50.0
527,E72804503080381,15.0
528,E72804503093030,10.0
529,E72809603093023,10.0
530,E72804503093020,10.0
531,E72809603093016,15.0
532,E72804503093013,15.0
