,gs_equipment_location,gs_facility_id,gs_rated_kva,x,y
3268,E72804500041097,15072,10.0,1455794.7082578875,884767.3379009217
3269,E72804500039396,15785,10.0,1455901.1725825742,885510.5597080141
3270,E72809600042792,17007,15.0,1464061.0876684748,902217.5456592888
3271,E72809600043247,21197,15.0,1463272.7174361981,902258.7375721261
3272,E72809600040444,18150,15.0,1463975.0887553804,902976.1014622152
3273,E72804503093145,23583,10.0,1462340.6073111147,905176.8963936269
3274,E72804503093173,15724,10.0,1463079.4709294736,907378.8863122836
3275,E72804503093175,23574,10.0,1463218.2400770746,907634.412741825
3276,E72805200040244,15278,10.0,1438716.6034566313,872190.5692497194
3277,E101 47,16103,10.0,1438636.207929045,871433.559900865
3278,E72805000043625,16869,10.0,1440762.5320594944,869887.0556258634
3279,E72805003080968,16738,10.0,1440554.9557478912,869149.7786292061
3280,E72805003081395,19685,15.0,1440876.594971586,854119.2053706199
3281,E72805003081396,20742,10.0,1440795.7011142448,853897.2402579188
3282,E72805203079514,23790,15.0,1440214.0128360055,876872.6898967922
3283,E72805203079499,19551,25.0,1440085.195220735,876494.1199499518
3284,E72805003080332,24354,0.0,1441281.0962668955,861973.709586218
3285,E72805003095022,24353,15.0,1441619.0165640153,862370.7064370215
3288,E72805003081410,18209,15.0,1439890.693475321,850877.3192358539
3289,E72805203096341,23777,10.0,1433755.9503653161,871510.591388762
3290,E72805200042349,17055,10.0,1432253.8714980148,875525.3367713168
3291,E72805203079700,23331,15.0,1432055.814916633,872496.3253106624
3292,E72805203079712,17099,10.0,1432086.5532016605,872759.6944715381
3293,E72805200040185,15477,10.0,1433995.0883985274,872610.5721152201
3294,E72805200040369,15478,10.0,1433723.9166739583,872666.9473952428
3295,E72805203079718,35724,15.0,1432242.5442240797,876551.4592532888
3296,E72805200040107,18655,10.0,1432268.7536079176,876135.6539059654
3297,E72805203079722,23757,10.0,1432790.8224417418,876994.7894745991
3298,E72805203079566,18764,10.0,1438302.7462397516,868953.4291724414
3299,E72805203079561,23754,10.0,1438586.5406445786,870026.4574137628
3300,E72805203079563,23753,100.0,1438335.5129905008,869235.3356982842
3302,E72805203079571,23751,99.0,1437498.6604190841,867698.8331651613
3303,E72805203079570,23752,10.0,1437894.0907320008,867721.3672101125
3304,E72805203079575,23750,99.0,1437402.549303107,867092.1110341176
3305,E72805203097034,19544,10.0,1437768.8279526979,866619.0266349167
3306,E72805203079577,23745,10.0,1437723.1372644007,866349.4716577753
3307,E72805203079581,17408,10.0,1437461.7664435208,865669.423503451
3308,E72805203079583,14708,10.0,1437274.8865074292,865261.8926895633
3309,E72805203079588,23746,10.0,1437208.1781025156,864664.3488638252
3310,E72805203079591,33369,15.0,1436963.3764323369,864278.900208965
3311,E72805203079594,32973,15.0,1436728.1949114725,863721.8855300248
3312,E72805203079606,23743,10.0,1436331.5093598664,862790.0264526755
3313,E72805203079605,16294,10.0,1436254.9598836266,862510.4998593926
3314,E72805203079609,23716,10.0,1436160.3550540768,862171.3042397648
3315,E72805203079607,17104,10.0,1436006.5732517503,861615.3540032357
3316,E72805203103932,23740,10.0,1435763.749837745,861674.2698863596
3317,E72805203095859,23741,10.0,1435423.2889375202,861503.2360834852
3318,E72805203079614,23725,99.0,1435933.869826857,861336.2184168026
3319,E72805203079610,29482,15.0,1436424.4874000736,861704.5462435558
3320,E72805203079616,35605,15.0,1435692.9041661099,860785.5608942062
3321,E72805200042671,16196,10.0,1435329.1862034462,861038.1350023448
3322,E72805200048095,18305,15.0,1435276.0544601977,860801.0254348591
3323,E72805203079615,23713,25.0,1435624.69951668,860420.1257650107
3324,E72805203079617,23721,10.0,1435555.2496704683,859895.3757413477
3325,E72805203079662,23736,99.0,1435139.153107766,860152.5590859577
3326,E72805200042418,16475,10.0,1435080.5083561912,859821.2162395716
3327,E72805203079658,23742,10.0,1435042.2988904864,859654.5205416083
3328,E72805203079657,23748,10.0,1435000.9362651892,859453.8028542027
